Repository,ReleaseId,TagName,ReleaseName,PublishedAt,PublishedAtKST,IsPreRelease,IsDraft,AuthorLogin,AuthorId,BodySnippet,AssetsCount,TotalDownloadCount,ReleaseUrl,Weekday,HourOfDay,IsWeekend,MajorVersion,MinorVersion,PatchVersion,ReleaseType
stackflow,173139799,@stackflow/plugin-basic-ui@1.9.2,@stackflow/plugin-basic-ui@1.9.2,2024-09-03T05:28:39Z,2024-09-03T23:28:39+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   @stackflow/react-ui-core@1.1.2
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.9.2,Tuesday,14,FALSE,1,9,2,ScopedPackage
stackflow,173139791,@stackflow/link@1.4.5,@stackflow/link@1.4.5,2024-09-03T05:28:36Z,2024-09-03T23:28:36+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.5,Tuesday,14,FALSE,1,4,5,ScopedPackage
stackflow,173139787,@stackflow/compat-await-push@1.1.13,@stackflow/compat-await-push@1.1.13,2024-09-03T05:28:34Z,2024-09-03T23:28:34+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.13,Tuesday,14,FALSE,1,1,13,ScopedPackage
stackflow,171204000,@stackflow/plugin-history-sync@1.6.3,@stackflow/plugin-history-sync@1.6.3,2024-08-21T06:44:29Z,2024-08-22T00:44:29+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   31dc20f: fix(plugin-history-sync): serialize state before pushState, replaceS",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.3,Wednesday,15,FALSE,1,6,3,ScopedPackage
stackflow,170105114,@stackflow/react@1.3.1,@stackflow/react@1.3.1,2024-08-14T06:44:07Z,2024-08-15T00:44:07+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Patch Changes

-   1fc97b4: fix(react): specify .mjs extension for esm exports
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.3.1,Wednesday,15,FALSE,1,3,1,ScopedPackage
stackflow,170099444,@stackflow/react@1.3.0,@stackflow/react@1.3.0,2024-08-14T05:39:17Z,2024-08-14T23:39:17+09:00,FALSE,FALSE,github-actions[bot],41898282,"### Minor Changes

-   667570b: feat(core,react): add `targetActivityId` option

### Patch Changes

",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.3.0,Wednesday,14,FALSE,1,3,0,ScopedPackage
stackflow,170099435,@stackflow/react-ui-core@1.1.1,@stackflow/react-ui-core@1.1.1,2024-08-14T05:39:11Z,2024-08-14T23:39:11+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.1.1,Wednesday,14,FALSE,1,1,1,ScopedPackage
stackflow,170099440,@stackflow/plugin-stack-depth-change@1.1.5,@stackflow/plugin-stack-depth-change@1.1.5,2024-08-14T05:39:14Z,2024-08-14T23:39:14+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-stack-depth-change%401.1.5,Wednesday,14,FALSE,1,1,5,ScopedPackage
stackflow,170099430,@stackflow/plugin-renderer-web@1.1.12,@stackflow/plugin-renderer-web@1.1.12,2024-08-14T05:39:08Z,2024-08-14T23:39:08+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.12,Wednesday,14,FALSE,1,1,12,ScopedPackage
stackflow,170099426,@stackflow/plugin-renderer-basic@1.1.12,@stackflow/plugin-renderer-basic@1.1.12,2024-08-14T05:39:05Z,2024-08-14T23:39:05+09:00,FALSE,FALSE,github-actions[bot],41898282,"
",0,0,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.12,Wednesday,14,FALSE,1,1,12,ScopedPackage
